date,ticker,open,high,low,close,volume,returns,volatility_7d,ma7,ma20,ma50,bb_upper,bb_lower,bb_position,rsi,macd,macd_signal,macd_hist,volume_change,obv,news_count
2025-12-19,ADA-USDT,0.3513,0.3809,0.3466,0.3767,111249233.9,0.07199772339214561,0.04121972056314027,0.3823285714285714,0.411825,,0.47250909572271965,0.35114090427728034,0.21059138657602597,38.54507011226941,-0.01700742599396471,-0.009862643104006955,-0.007144782889957754,-0.27976215776404856,-1716958620.8,0.0
2025-12-20,ADA-USDT,0.3767,0.3806,0.3723,0.373,45059247.6,-0.009822139633660742,0.04074848134540639,0.37697142857142857,0.40976,,0.4728524601384015,0.34666753986159854,0.20868151345372965,37.83520634096814,-0.01732003381307956,-0.011354121245821476,-0.0059659125672580846,-0.5949702661278282,-1762017868.3999999,0.0
2025-12-21,ADA-USDT,0.3731,0.3747,0.3576,0.3662,80041766.8,-0.01823056300268089,0.039753647220813086,0.37267142857142854,0.40879000000000004,,0.47400717242373636,0.34357282757626373,0.17347557079537657,36.50461167842407,-0.01791002530881819,-0.012665302058420818,-0.005244723250397371,0.7763671402271706,-1842059635.1999998,0.0
2025-12-22,ADA-USDT,0.3662,0.3822,0.3619,0.3711,115017172.4,0.013380666302566846,0.0404024538706371,0.37022857142857146,0.40567000000000003,,0.47187278575789127,0.3394672142421088,0.2389082679509497,38.19143721117231,-0.017777283314780734,-0.0136876983096928,-0.004089585005087933,0.4369644374216888,-1727042462.7999997,0.0
2025-12-23,ADA-USDT,0.3712,0.3744,0.3552,0.3628,87389611.9,-0.022365939099972976,0.040890827033437556,0.36692857142857144,0.40131500000000003,,0.4667215271167463,0.33590847288325376,0.20557219823601608,36.42617878537081,-0.018132801315865033,-0.014576718910927247,-0.003556082404937785,-0.240203788038872,-1814432074.6999998,0.0
2025-12-24,ADA-USDT,0.3629,0.3652,0.3523,0.3566,80682772.1,-0.017089305402425703,0.037339541598857426,0.3654,0.397175,,0.46291249630958425,0.33143750369041575,0.19138617776895497,35.12031182227215,-0.018699286344453947,-0.015401232397632587,-0.0032980539468213596,-0.07674641933041948,-1895114846.7999997,0.0
2025-12-25,ADA-USDT,0.3566,0.3614,0.3393,0.3434,117381757.3,-0.037016264722377956,0.036289713031247665,0.36425714285714283,0.39356,,0.46286322085626763,0.3242567791437324,0.13811205756201378,32.45281097925734,-0.019983007818767717,-0.016317587481859613,-0.0036654203369081047,0.45485528378368656,-2012496604.0999997,0.0
2025-12-26,ADA-USDT,0.3434,0.3584,0.3418,0.3496,118134191.4,0.018054746651135822,0.01971965379355701,0.36038571428571425,0.39035000000000003,,0.461625137763163,0.31907486223683706,0.21413594362029575,34.95190849495627,-0.020266459027204198,-0.01710736179092853,-0.0031590972362756688,0.006410145130788747,-1894362412.6999996,0.0
2025-12-27,ADA-USDT,0.3496,0.3711,0.3488,0.37,74514742.1,0.0583524027459954,0.032663450261076164,0.3599571428571429,0.38798499999999997,,0.4586311091415661,0.31733889085843386,0.3727106119605239,42.491243795663095,-0.018630228959429895,-0.0174119352246288,-0.0012182937348010937,-0.36923644867814287,-1819847670.5999997,0.0
2025-12-28,ADA-USDT,0.3699,0.3771,0.3614,0.3688,89973452.1,-0.00324324324324321,0.03180284540802374,0.36032857142857144,0.384785,,0.4526261852863185,0.3169438147136815,0.38218808432859397,42.18153280415926,-0.017231698519328376,-0.017375887883568718,0.00014418936424034218,0.2074584111054718,-1909821122.6999996,0.0
